Stadium	Team	Capacity	Latitude	Longitude
Abbey Stadium	Cambridge United	"10,847"	52.2128	0.154298
Adams Park	Wycombe Wanderers	"10,284"	51.6306	-0.800299
Alexandra Stadium	Crewe Alexandra	"10,153"	53.0875	-2.43569
Almondvale Stadium	Livingston	"10,122"	55.8864	-3.52207
Amex Stadium	Brighton and Hove Albion	"22,374"	50.8609	-0.08014
Anfield	Liverpool	"45,522"	53.4308	-2.96096
Ashton Gate	Bristol City	"21,497"	51.44	-2.62021
B2net Stadium	Chesterfield	"10,400"	53.2535	-1.4272
Balmoor	Peterhead	"4,000"	57.5112	-1.79599
Bayview Stadium	East Fife	"2,000"	56.1889	-2.99914
Bescot Stadium	Walsall	"11,300"	52.5655	-1.99053
Bloomfield Road	Blackpool	"16,220"	53.8046	-3.04834
Bootham Crescent	York City	"7,872"	53.9695	-1.08833
Borough Briggs	Elgin City	"4,927"	57.6518	-3.3209
Boundary Park	Oldham Athletic	"10,638"	53.5551	-2.12847
Bramall Lane	Sheffield United	"32,702"	53.3703	-1.47083
Brisbane Road	Leyton Orient	"9,271"	51.5601	-0.012551
Britannia Stadium	Stoke City	"27,902"	52.9884	-2.17542
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
